Marking,Capacitance,Voltage,Type,Diameter,Pitch,Note
C29,33µF,25V,SMT,6.3mm,,
C30,330µF,6V,SMT,8mm,,
C31,100µF,6V,SMT,6.3mm,,
C32,100µF,6V,SMT,6.3mm,,
